date,value,type
10:01:55 28/04/2024,18.16,Temp1
10:01:55 28/04/2024,18.99,Temp2
10:01:55 28/04/2024,90.94,Humid1
10:01:55 28/04/2024,44.82,Humid2
10:01:55 28/04/2024,995.96,Press1
10:01:55 28/04/2024,995.22,Press2
10:02:05 28/04/2024,18.16,Temp1
10:02:05 28/04/2024,18.97,Temp2
10:02:05 28/04/2024,90.97,Humid1
10:02:05 28/04/2024,44.81,Humid2
10:02:05 28/04/2024,996.03,Press1
10:02:05 28/04/2024,995.26,Press2
10:02:15 28/04/2024,18.16,Temp1
10:02:15 28/04/2024,18.95,Temp2
10:02:15 28/04/2024,90.97,Humid1
10:02:15 28/04/2024,44.75,Humid2
10:02:15 28/04/2024,995.97,Press1
10:02:15 28/04/2024,995.23,Press2
10:02:25 28/04/2024,18.16,Temp1
10:02:25 28/04/2024,18.97,Temp2
10:02:25 28/04/2024,90.98,Humid1
10:02:25 28/04/2024,45.12,Humid2
10:02:25 28/04/2024,996.05,Press1
10:02:25 28/04/2024,995.26,Press2
10:02:35 28/04/2024,18.16,Temp1
10:02:35 28/04/2024,18.96,Temp2
10:02:35 28/04/2024,90.97,Humid1
10:02:35 28/04/2024,44.97,Humid2
10:02:35 28/04/2024,996.02,Press1
10:02:35 28/04/2024,995.27,Press2
10:02:45 28/04/2024,18.16,Temp1
10:02:45 28/04/2024,18.96,Temp2
10:02:45 28/04/2024,90.98,Humid1
10:02:45 28/04/2024,44.95,Humid2
10:02:45 28/04/2024,995.96,Press1
10:02:45 28/04/2024,995.3,Press2
10:02:55 28/04/2024,18.16,Temp1
10:02:55 28/04/2024,18.97,Temp2
10:02:55 28/04/2024,90.99,Humid1
10:02:55 28/04/2024,45.09,Humid2
10:02:55 28/04/2024,996.02,Press1
10:02:55 28/04/2024,995.26,Press2
10:03:05 28/04/2024,18.16,Temp1
10:03:05 28/04/2024,18.97,Temp2
10:03:05 28/04/2024,91.16,Humid1
10:03:05 28/04/2024,44.95,Humid2
10:03:05 28/04/2024,996.0,Press1
10:03:05 28/04/2024,995.32,Press2
10:03:15 28/04/2024,18.15,Temp1
10:03:15 28/04/2024,18.98,Temp2
10:03:15 28/04/2024,90.98,Humid1
10:03:15 28/04/2024,45.53,Humid2
10:03:15 28/04/2024,996.06,Press1
10:03:15 28/04/2024,995.34,Press2
10:03:25 28/04/2024,18.15,Temp1
10:03:25 28/04/2024,18.98,Temp2
10:03:25 28/04/2024,90.98,Humid1
10:03:25 28/04/2024,45.19,Humid2
10:03:25 28/04/2024,996.09,Press1
10:03:25 28/04/2024,995.34,Press2
10:03:35 28/04/2024,18.14,Temp1
10:03:35 28/04/2024,18.99,Temp2
10:03:35 28/04/2024,90.98,Humid1
10:03:35 28/04/2024,45.21,Humid2
10:03:35 28/04/2024,995.99,Press1
10:03:35 28/04/2024,995.29,Press2
10:03:45 28/04/2024,18.15,Temp1
10:03:45 28/04/2024,18.98,Temp2
10:03:45 28/04/2024,91.01,Humid1
10:03:45 28/04/2024,45.02,Humid2
10:03:45 28/04/2024,996.07,Press1
10:03:45 28/04/2024,995.28,Press2
10:03:55 28/04/2024,18.16,Temp1
10:03:55 28/04/2024,18.99,Temp2
10:03:55 28/04/2024,90.98,Humid1
10:03:55 28/04/2024,44.78,Humid2
10:03:55 28/04/2024,996.05,Press1
10:03:55 28/04/2024,995.29,Press2
10:04:05 28/04/2024,18.15,Temp1
10:04:05 28/04/2024,18.98,Temp2
10:04:05 28/04/2024,91.0,Humid1
10:04:05 28/04/2024,45.03,Humid2
10:04:05 28/04/2024,996.06,Press1
10:04:05 28/04/2024,995.39,Press2
10:04:15 28/04/2024,18.14,Temp1
10:04:15 28/04/2024,18.98,Temp2
10:04:15 28/04/2024,91.0,Humid1
10:04:15 28/04/2024,45.46,Humid2
10:04:15 28/04/2024,996.07,Press1
10:04:15 28/04/2024,995.34,Press2
10:04:25 28/04/2024,18.15,Temp1
10:04:25 28/04/2024,19.0,Temp2
10:04:25 28/04/2024,90.99,Humid1
10:04:25 28/04/2024,45.03,Humid2
10:04:25 28/04/2024,996.07,Press1
10:04:25 28/04/2024,995.32,Press2
10:04:35 28/04/2024,18.14,Temp1
10:04:35 28/04/2024,19.0,Temp2
10:04:35 28/04/2024,91.17,Humid1
10:04:35 28/04/2024,45.05,Humid2
10:04:35 28/04/2024,996.02,Press1
10:04:35 28/04/2024,995.37,Press2
10:04:45 28/04/2024,18.15,Temp1
